from,to,relationship
UvdL,500,1
UvdL,CDU,2
LK,500,1
LK,SPD,2
NR,500,1
NR,CDU,2
SW,500,1
SW,Linke,2
CS,500,1
CS,parteilos,2
CL,501,1
CL,FDP,2
NR,501,1
NR,CDU,2
KS,501,1
KS,parteilos,2
LM,501,1
LM,parteilos,2
KD,501,1
KD,parteilos,2
EL,501,1
EL,parteilos,2
AB,502,1
AB,Grünen,2
FT,502,1
FT,parteilos,2
AM,502,1
AM,parteilos,2
AGL,502,1
AGL,FDP,2
ER,502,1
ER,parteilos,2
RH,503,1
RH,Grünen,2
LK,503,1
LK,SPD,2
CM,503,1
CM,parteilos,2
KP,503,1
KP,parteilos,2
RK,503,1
RK,CDU,2
